OrderID,CustomerName,ItemID,ItemName,Quantity,DeliveryArea,Priority
5001,Alice,3001,Ceramic Plant Pot,2,Belfast North,NORMAL
5002,Bob,3002,Stainless Steel Water Bottle,1,Belfast West,NORMAL
500x,Charlie,3003,Cotton Bath Towel Set,3,Belfast East,NORMAL
5004,Dana,3004,Hardback Novel The Silent River,x,Belfast South,HIGH
5005,Ethan,3005,Scented Candle Lavender,2,City Centre,NORMAL
5006,Fatima,3006,Reusable Shopping Bags Pack of 5,1,Belfast East,NORMAL
5007,Grace,3007,Childrens Toy Building Blocks Set,1,Belfast West,NORMAL
5008,Hassan,3008,Bathroom Storage Basket,2,Belfast North,HIGH
5009,Isla,3009,Mens Hoodie Grey Large,1,Belfast South,NORMAL
5010,Jack,3010,Herbal Tea Selection Box,3,City Centre,NORMAL
5011,Alice,3011,Pet Toy Rubber Chew Bone,1,Belfast East,NORMAL
5012,Bob,3012,Kitchen Knife Set 3 pcs,1,Belfast West,NORMAL
5013,Charlie,3013,Shower Gel 1L,2,City Centre,NORMAL
5014,Dana,3014,Womens Scarf Floral,1,Belfast South,NORMAL
5015,Ethan,3015,Memory Foam Bath Mat,1,Belfast North,HIGH
5016,Fatima,3016,Pack of 6 Drinking Glasses,1,Belfast East,NORMAL
5017,Grace,3017,Notebook Set 3 pack,2,City Centre,NORMAL
5018,Hassan,3018,Organic Shampoo 500ml,1,Belfast West,NORMAL
5019,Isla,3019,Childrens Colouring Book,1,Belfast North,NORMAL
5020,Jack,3020,Bamboo Cutting Board,1,Belfast East,HIGH
5021,Alice,3021,Yoga Mat Blue,1,Belfast South,NORMAL
5022,Bob,3022,Handheld Milk Frother,1,Belfast West,NORMAL
5023,Charlie,3023,Fruit Bowl Glass,1,City Centre,NORMAL
5024,Dana,3024,Womens Running Socks Pack of 3,1,Belfast East,NORMAL
5025,Ethan,3025,Pet Food Storage Container,1,Belfast South,NORMAL
5026,Fatima,3026,Cotton Pillowcase Set 2 pcs,1,Belfast West,HIGH
5027,Grace,3027,Kids Puzzle 48 pieces,1,Belfast North,NORMAL
5028,Hassan,3028,Vanilla Body Lotion 500ml,2,City Centre,NORMAL
5029,Isla,3029,Womens T Shirt Medium,1,Belfast East,NORMAL
5030,Jack,3030,Stainless Steel Mixing Bowls Set of 3,1,Belfast South,NORMAL
